cycle,length,bottleneck_kzt
100000004070318100→100000008346837100→100000005910114100→100000006866783100→100000004070318100,4,60059.0
100000004070318100→100000008346837100→100000005910114100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,60059.0
100000000267734100→100000000031787100→100000000267734100,2,60000.0
100000008314203100→100000008637537100→100000008314203100,2,60000.0
100000008314203100→100000001732159100→100000008637537100→100000008314203100,3,60000.0
100000000594783100→100000002224132100→100000000594783100,2,60000.0
100000005820746100→100000001965374100→100000005820746100,2,60000.0
100000004603109100→100000002224132100→100000000552584100→100000004603109100,3,57500.0
100000004892144100→100000002224132100→100000000552584100→100000004603109100→100000004892144100,4,57500.0
100000008193577100→100000008659445100→100000008193577100,2,56190.0
100000008736940100→100000008193577100→100000008659445100→100000008736940100,3,56190.0
100000008736940100→100000008193577100→100000008659445100→100000008751429100→100000008736940100,4,56190.0
100000008686313100→100000008603629100→100000001857829100→100000003880331100→100000000331309100→100000008686313100,5,55500.0
100000008686313100→100000008603629100→100000008686313100,2,55500.0
100000001382002100→100000005584222100→100000001382002100,2,55000.0
100000001937767100→100000001616816100→100000001937767100,2,53000.0
100000004017410100→100000004336312100→100000004017410100,2,52650.0
100000005382566100→100000004041163100→100000005382566100,2,50000.0
100000008587459100→100000006866783100→100000004351795100→100000008512552100→100000003242289100→100000008304139100→100000008587459100,6,49000.0
100000008389800100→100000007511163100→100000008389800100,2,49000.0
100000004351795100→100000003242289100→100000008304139100→100000008477350100→100000005910114100→100000006866783100→100000004351795100,6,49000.0
100000004351795100→100000003242289100→100000008304139100→100000006866783100→100000004351795100,4,49000.0
100000008512552100→100000003242289100→100000008512552100,2,49000.0
100000008587459100→100000006866783100→100000004351795100→100000003242289100→100000008304139100→100000008587459100,5,49000.0
100000006169033100→100000008011159100→100000006169033100,2,49000.0
100000008686313100→100000006866783100→100000004351795100→100000003242289100→100000008304139100→100000008603629100→100000008686313100,6,48100.0
100000008686313100→100000006866783100→100000004351795100→100000000437046100→100000008686313100,4,48100.0
100000004070318100→100000008346837100→100000005910114100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,48100.0
100000008686313100→100000006866783100→100000004351795100→100000000437046100→100000001279272100→100000000331309100→100000008686313100,6,48100.0
100000008686313100→100000006866783100→100000008686313100,2,48100.0
100000008686313100→100000006866783100→100000004351795100→100000008603629100→100000008686313100,4,48100.0
100000008686313100→100000006866783100→100000004403675100→100000000331309100→100000008686313100,4,47187.0
100000002796853100→100000002781227100→100000002796853100,2,46167.62
100000008686313100→100000006866783100→100000004390333100→100000000437046100→100000008686313100,4,45751.0
100000008686313100→100000006866783100→100000004390333100→100000000437046100→100000001279272100→100000000331309100→100000008686313100,6,45751.0
100000008686313100→100000006866783100→100000004390333100→100000008603629100→100000008686313100,4,45751.0
100000004070318100→100000006866783100→100000004390333100→100000000437046100→100000004070318100,4,45751.0
100000004390333100→100000006866783100→100000004390333100,2,45751.0
100000004070318100→100000008346837100→100000005910114100→100000006866783100→100000004390333100→100000000437046100→100000004070318100,6,45751.0
100000008686313100→100000006866783100→100000008137435100→100000008686313100,3,43906.0
100000006579678100→100000003016635100→100000006579678100,2,42930.0
100000005704413100→100000004569484100→100000005704413100,2,41000.0
100000008686313100→100000006866783100→100000004390333100→100000008477350100→100000008086440100→100000000437046100→100000008686313100,6,40000.0
100000008686313100→100000006866783100→100000004390333100→100000008477350100→100000005910114100→100000008603629100→100000008686313100,6,40000.0
100000008603629100→100000003178549100→100000001857829100→100000003880331100→100000008603629100,4,40000.0
100000002175422100→100000003004487100→100000002175422100,2,40000.0
100000008686313100→100000008603629100→100000003178549100→100000001857829100→100000003880331100→100000000331309100→100000008686313100,6,40000.0
100000008686313100→100000006866783100→100000004390333100→100000008477350100→100000008086440100→100000008603629100→100000008686313100,6,40000.0
100000008603629100→100000001138283100→100000008603629100,2,40000.0
100000008686313100→100000006866783100→100000004390333100→100000008477350100→100000003968044100→100000008603629100→100000008686313100,6,40000.0
100000004070318100→100000006866783100→100000004390333100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,40000.0
100000004390333100→100000008477350100→100000005910114100→100000006866783100→100000004390333100,4,40000.0
100000000933075100→100000002193259100→100000000933075100,2,40000.0
100000004160650100→100000002731501100→100000004160650100,2,40000.0
100000001899164100→100000000297649100→100000001899164100,2,40000.0
100000003509750100→100000001808684100→100000003509750100,2,37700.0
100000008736940100→100000008751429100→100000008736940100,2,37500.0
100000005578559100→100000005704413100→100000004569484100→100000005578559100,3,36834.67
100000006385877100→100000006443391100→100000006385877100,2,36602.93
100000008686313100→100000006866783100→100000002306369100→100000008477350100→100000008086440100→100000008603629100→100000008686313100,6,35000.0
100000003616818100→100000004005964100→100000003616818100,2,35000.0
100000004160650100→100000004005964100→100000003616818100→100000004160650100,3,35000.0
100000008686313100→100000006866783100→100000002306369100→100000008111003100→100000003796063100→100000000331309100→100000008686313100,6,35000.0
100000004390333100→100000008477350100→100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000004390333100,6,35000.0
100000004070318100→100000008346837100→100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000004070318100,6,35000.0
100000005910114100→100000006866783100→100000002306369100→100000008111003100→100000003796063100→100000008477350100→100000005910114100,6,35000.0
100000005910114100→100000006866783100→100000002306369100→100000008111003100→100000003796063100→100000008346837100→100000005910114100,6,35000.0
100000004070318100→100000006866783100→100000002306369100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,35000.0
100000005910114100→100000006866783100→100000002306369100→100000008477350100→100000005910114100,4,35000.0
100000005910114100→100000008111003100→100000003796063100→100000008477350100→100000005910114100,4,35000.0
100000008686313100→100000006866783100→100000002306369100→100000008477350100→100000003968044100→100000008603629100→100000008686313100,6,35000.0
100000008686313100→100000006866783100→100000002306369100→100000008477350100→100000005910114100→100000008603629100→100000008686313100,6,35000.0
100000008686313100→100000006866783100→100000002306369100→100000008477350100→100000008086440100→100000000437046100→100000008686313100,6,35000.0
100000008111003100→100000003796063100→100000008111003100,2,35000.0
100000006866783100→100000002306369100→100000008111003100→100000003796063100→100000006866783100,4,35000.0
100000005910114100→100000008111003100→100000003796063100→100000008346837100→100000005910114100,4,35000.0
100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000002306369100→100000008477350100→100000005910114100,6,35000.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000006866783100→100000004390333100→100000008603629100,6,33000.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000001857829100→100000003880331100→100000008603629100,6,33000.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000008477350100→100000003968044100→100000008603629100,6,33000.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000008477350100→100000005910114100→100000008603629100,6,33000.0
100000004351795100→100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000006866783100→100000004351795100,6,33000.0
100000008086440100→100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000008477350100→100000008086440100,6,33000.0
100000008686313100→100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000006866783100→100000008686313100,6,33000.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000008603629100,4,33000.0
100000005933757100→100000004569484100→100000005933757100,2,32607.0
100000003115284100→100000003360542100→100000003115284100,2,30500.0
100000008547844100→100000008465789100→100000008466579100→100000008547948100→100000008547844100,4,30000.0
100000002391278100→100000004221668100→100000002391278100,2,30000.0
100000004070318100→100000006866783100→100000004351795100→100000003242289100→100000008304139100→100000000437046100→100000004070318100,6,30000.0
100000008686313100→100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000000437046100→100000008686313100,6,30000.0
100000007131370100→100000000076451100→100000007131370100,2,30000.0
100000008686313100→100000006866783100→100000004351795100→100000003242289100→100000008304139100→100000000437046100→100000008686313100,6,30000.0
100000003942602100→100000002527114100→100000003942602100,2,30000.0
100000005342513100→100000002733905100→100000005342513100,2,30000.0
100000008547948100→100000008489922100→100000008547948100,2,30000.0
100000008547844100→100000008465789100→100000008466579100→100000008489922100→100000008547948100→100000008547844100,5,30000.0
100000008545727100→100000005473151100→100000008545727100,2,30000.0
100000004070318100→100000008346837100→100000004351795100→100000003242289100→100000008304139100→100000006866783100→100000004070318100,6,29511.0
100000004070318100→100000008346837100→100000004351795100→100000000437046100→100000008686313100→100000006866783100→100000004070318100,6,29511.0
100000004070318100→100000008346837100→100000004351795100→100000000437046100→100000004070318100,4,29511.0
100000004070318100→100000008346837100→100000004351795100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,29511.0
100000004070318100→100000008346837100→100000004351795100→100000003242289100→100000008304139100→100000000437046100→100000004070318100,6,29511.0
100000004070318100→100000006866783100→100000004403675100→100000000331309100→100000008686313100→100000000437046100→100000004070318100,6,29200.0
100000008686313100→100000000437046100→100000001279272100→100000000331309100→100000008686313100,4,29200.0
100000008686313100→100000000437046100→100000008686313100,2,29200.0
100000004070318100→100000006866783100→100000004390333100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,29200.0
100000004070318100→100000006866783100→100000008686313100→100000000437046100→100000004070318100,4,29200.0
100000004070318100→100000006866783100→100000004351795100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,29200.0
100000004070318100→100000008346837100→100000005910114100→100000006866783100→100000008686313100→100000000437046100→100000004070318100,6,29200.0
100000004070318100→100000008346837100→100000005910114100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,29200.0
100000004070318100→100000008346837100→100000004351795100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,29200.0
100000004070318100→100000006866783100→100000008137435100→100000008686313100→100000000437046100→100000004070318100,5,29200.0
100000004160650100→100000003616818100→100000004160650100,2,28000.0
100000008686313100→100000006866783100→100000004390333100→100000000437046100→100000007639767100→100000008603629100→100000008686313100,6,27868.0
100000000437046100→100000007639767100→100000000437046100,2,27868.0
100000008686313100→100000000437046100→100000007639767100→100000008603629100→100000008686313100,4,27868.0
100000008686313100→100000006866783100→100000004351795100→100000000437046100→100000007639767100→100000008603629100→100000008686313100,6,27868.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000000437046100→100000007639767100→100000008603629100,6,27868.0
100000008603629100→100000001857829100→100000008603629100,2,26000.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000001857829100→100000008603629100,5,26000.0
100000008512552100→100000003178549100→100000001857829100→100000008603629100→100000002723538100→100000003242289100→100000008512552100,6,26000.0
100000008603629100→100000003178549100→100000001857829100→100000008603629100,3,26000.0
100000008686313100→100000008477350100→100000008086440100→100000000437046100→100000008686313100,4,25800.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000008137435100→100000008686313100,5,25800.0
100000008686313100→100000008477350100→100000008086440100→100000000437046100→100000001279272100→100000000331309100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000005910114100→100000008111003100→100000003796063100→100000000331309100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000008086440100→100000008603629100→100000008686313100,4,25800.0
100000008686313100→100000008477350100→100000005910114100→100000002957787100→100000008137435100→100000008686313100,5,25800.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000004351795100→100000000437046100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000004390333100→100000008603629100→100000008686313100,6,25800.0
100000004070318100→100000006866783100→100000008686313100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,25800.0
100000008686313100→100000008477350100→100000008086440100→100000000437046100→100000007639767100→100000008603629100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000004390333100→100000000437046100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000003968044100→100000008603629100→100000008686313100,4,25800.0
100000008686313100→100000008477350100→100000005910114100→100000001857829100→100000008603629100→100000008686313100,5,25800.0
100000008686313100→100000008477350100→100000005910114100→100000001857829100→100000003880331100→100000008603629100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000005910114100→100000008603629100→100000008686313100,4,25800.0
100000008686313100→100000008477350100→100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000004403675100→100000000331309100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000008686313100,4,25800.0
100000008686313100→100000008477350100→100000005910114100→100000001857829100→100000003880331100→100000000331309100→100000008686313100,6,25800.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000004351795100→100000008603629100→100000008686313100,6,25800.0
100000004847758100→100000008603629100→100000004847758100,2,25612.0
100000001697501100→100000006612238100→100000001697501100,2,25000.0
100000004070318100→100000008477350100→100000008086440100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,25000.0
100000004070318100→100000008477350100→100000008086440100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,25000.0
100000004070318100→100000008477350100→100000005910114100→100000006866783100→100000004070318100,4,25000.0
100000004070318100→100000008477350100→100000005910114100→100000006866783100→100000008686313100→100000000437046100→100000004070318100,6,25000.0
100000001697501100→100000002527114100→100000001697501100,2,25000.0
100000004070318100→100000008477350100→100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000004070318100,6,25000.0
100000004070318100→100000008477350100→100000008086440100→100000000437046100→100000008686313100→100000006866783100→100000004070318100,6,25000.0
100000002733905100→100000001166289100→100000002733905100,2,25000.0
100000004070318100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,4,25000.0
100000004070318100→100000008477350100→100000005910114100→100000006866783100→100000004390333100→100000000437046100→100000004070318100,6,25000.0
100000004070318100→100000008477350100→100000005910114100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,25000.0
100000004070318100→100000008477350100→100000005910114100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,25000.0
100000004070318100→100000008477350100→100000003968044100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,25000.0
100000004070318100→100000008477350100→100000003968044100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,25000.0
100000004070318100→100000008477350100→100000005910114100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,25000.0
100000008603629100→100000002723538100→100000003242289100→100000004140487100→100000004400305100→100000005910114100→100000008603629100,6,24510.0
100000004351795100→100000003242289100→100000004140487100→100000004400305100→100000008304139100→100000006866783100→100000004351795100,6,24510.0
100000008686313100→100000008603629100→100000002723538100→100000003242289100→100000004140487100→100000004400305100→100000008686313100,6,24510.0
100000008686313100→100000006866783100→100000004351795100→100000003242289100→100000004140487100→100000004400305100→100000008686313100,6,24510.0
100000004351795100→100000003242289100→100000004140487100→100000004400305100→100000005910114100→100000006866783100→100000004351795100,6,24510.0
100000008603629100→100000002723538100→100000003242289100→100000004140487100→100000004400305100→100000008304139100→100000008603629100,6,24510.0
100000008587459100→100000006866783100→100000004351795100→100000003242289100→100000004140487100→100000004400305100→100000008587459100,6,24510.0
100000004847758100→100000008603629100→100000002723538100→100000003242289100→100000004140487100→100000004400305100→100000004847758100,6,24510.0
100000004070318100→100000008346837100→100000005910114100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,24000.0
100000008603629100→100000001660397100→100000006866783100→100000004390333100→100000000437046100→100000007639767100→100000008603629100,6,24000.0
100000008086440100→100000008603629100→100000001660397100→100000006866783100→100000004390333100→100000008477350100→100000008086440100,6,24000.0
100000008686313100→100000008477350100→100000008086440100→100000008603629100→100000001660397100→100000006866783100→100000008686313100,6,24000.0
100000004070318100→100000008477350100→100000008086440100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,24000.0
100000004070318100→100000008477350100→100000005910114100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,24000.0
100000004070318100→100000008477350100→100000003968044100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,24000.0
100000008603629100→100000001660397100→100000006866783100→100000002306369100→100000008477350100→100000005910114100→100000008603629100,6,24000.0
100000008686313100→100000008477350100→100000003968044100→100000008603629100→100000001660397100→100000006866783100→100000008686313100,6,24000.0
100000004351795100→100000003242289100→100000008304139100→100000008603629100→100000001660397100→100000006866783100→100000004351795100,6,24000.0
100000004351795100→100000000437046100→100000007639767100→100000008603629100→100000001660397100→100000006866783100→100000004351795100,6,24000.0
100000008686313100→100000008603629100→100000001660397100→100000006866783100→100000004390333100→100000000437046100→100000008686313100,6,24000.0
100000008086440100→100000008603629100→100000001660397100→100000006866783100→100000002306369100→100000008477350100→100000008086440100,6,24000.0
100000004351795100→100000008603629100→100000001660397100→100000006866783100→100000004351795100,4,24000.0
100000008686313100→100000008603629100→100000001660397100→100000006866783100→100000004403675100→100000000331309100→100000008686313100,6,24000.0
100000008686313100→100000008603629100→100000001660397100→100000006866783100→100000008686313100,4,24000.0
100000004070318100→100000008346837100→100000004351795100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,24000.0
100000008603629100→100000001660397100→100000006866783100→100000002306369100→100000008477350100→100000003968044100→100000008603629100,6,24000.0
100000008686313100→100000008477350100→100000005910114100→100000008603629100→100000001660397100→100000006866783100→100000008686313100,6,24000.0
100000008603629100→100000001660397100→100000006866783100→100000004390333100→100000008477350100→100000005910114100→100000008603629100,6,24000.0
100000008603629100→100000001660397100→100000006866783100→100000004390333100→100000008603629100,4,24000.0
100000008686313100→100000008603629100→100000001660397100→100000006866783100→100000004351795100→100000000437046100→100000008686313100,6,24000.0
100000008686313100→100000000437046100→100000007639767100→100000008603629100→100000001660397100→100000006866783100→100000008686313100,6,24000.0
100000008686313100→100000008603629100→100000001660397100→100000006866783100→100000008137435100→100000008686313100,5,24000.0
100000008603629100→100000001660397100→100000006866783100→100000004390333100→100000008477350100→100000003968044100→100000008603629100,6,24000.0
100000008686313100→100000008477350100→100000008086440100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,6,23722.0
100000004070318100→100000008346837100→100000005910114100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23722.0
100000008686313100→100000006866783100→100000004351795100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,6,23722.0
100000004070318100→100000008477350100→100000005910114100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23722.0
100000008686313100→100000008477350100→100000003968044100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,6,23722.0
100000004070318100→100000006866783100→100000004390333100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23722.0
100000008686313100→100000008477350100→100000005910114100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,6,23722.0
100000004070318100→100000008477350100→100000008086440100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23722.0
100000004070318100→100000008477350100→100000003968044100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23722.0
100000008686313100→100000006866783100→100000004390333100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,6,23722.0
100000004070318100→100000008346837100→100000004351795100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23722.0
100000004070318100→100000006866783100→100000008686313100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23722.0
100000004070318100→100000006866783100→100000004351795100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23722.0
100000008686313100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,4,23722.0
100000008686313100→100000008603629100→100000007639767100→100000000437046100→100000001279272100→100000000331309100→100000008686313100,6,23722.0
100000008603629100→100000007639767100→100000008603629100,2,23722.0
100000004847758100→100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000005782781100→100000004847758100,6,23717.0
100000008686313100→100000008477350100→100000005910114100→100000005782781100→100000004847758100→100000008603629100→100000008686313100,6,23717.0
100000008686313100→100000006866783100→100000008304139100→100000001857829100→100000003880331100→100000000331309100→100000008686313100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000001857829100→100000003880331100→100000008603629100→100000008686313100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000008603629100→100000008686313100,4,23567.0
100000004847758100→100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000005782781100→100000004847758100,6,23567.0
100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000008304139100→100000008477350100→100000005910114100,6,23567.0
100000008304139100→100000006866783100→100000008304139100,2,23567.0
100000008686313100→100000006866783100→100000008304139100→100000001857829100→100000008603629100→100000008686313100,5,23567.0
100000008686313100→100000006866783100→100000008304139100→100000008477350100→100000003968044100→100000008603629100→100000008686313100,6,23567.0
100000004070318100→100000006866783100→100000008304139100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,23567.0
100000004070318100→100000006866783100→100000008304139100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,23567.0
100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000000437046100→100000007639767100→100000008603629100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000008477350100→100000005910114100→100000008603629100→100000008686313100,6,23567.0
100000004070318100→100000006866783100→100000008304139100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,23567.0
100000004070318100→100000008346837100→100000005910114100→100000006866783100→100000008304139100→100000000437046100→100000004070318100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000008477350100→100000008086440100→100000008603629100→100000008686313100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000000437046100→100000001279272100→100000000331309100→100000008686313100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000000437046100→100000007639767100→100000008603629100→100000008686313100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000005782781100→100000004847758100→100000008603629100→100000008686313100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000000437046100→100000008686313100,4,23567.0
100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000008477350100→100000003968044100→100000008603629100,6,23567.0
100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000008477350100→100000005910114100→100000008603629100,6,23567.0
100000004070318100→100000008477350100→100000005910114100→100000006866783100→100000008304139100→100000000437046100→100000004070318100,6,23567.0
100000008686313100→100000006866783100→100000008304139100→100000008477350100→100000008086440100→100000000437046100→100000008686313100,6,23567.0
100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000001857829100→100000008603629100,5,23567.0
100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000001857829100→100000003880331100→100000008603629100,6,23567.0
100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000008603629100,4,23567.0
100000004070318100→100000006866783100→100000008304139100→100000000437046100→100000004070318100,4,23567.0
100000008686313100→100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000000437046100→100000008686313100,6,23567.0
100000008086440100→100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000008477350100→100000008086440100,6,23567.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000008304139100→100000000437046100→100000008686313100,6,23567.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000008304139100→100000008603629100→100000008686313100,6,23567.0
100000008587459100→100000006866783100→100000008304139100→100000008587459100,3,23567.0
100000005910114100→100000006866783100→100000008304139100→100000008477350100→100000005910114100,4,23567.0
100000004070318100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,4,23126.0
100000004070318100→100000008603629100→100000007639767100→100000000437046100→100000008686313100→100000006866783100→100000004070318100,6,23126.0
100000004070318100→100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000000437046100→100000004070318100,6,23126.0
100000004070318100→100000008603629100→100000001660397100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,23126.0
100000004070318100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,4,23126.0
100000004070318100→100000008603629100→100000008686313100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,23126.0
100000004070318100→100000008603629100→100000001660397100→100000006866783100→100000008686313100→100000000437046100→100000004070318100,6,23126.0
100000004070318100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,4,23126.0
