cycle,length,bottleneck_kzt
100000005171642100→100000004221668100→100000005171642100,2,683600.0
100000000791285100→100000008461532100→100000000791285100,2,560000.0
100000005933757100→100000002963189100→100000005933757100,2,490000.0
100000001872484100→100000008601794100→100000001872484100,2,475400.0
100000001732159100→100000008637537100→100000001732159100,2,381890.0
100000002741024100→100000007629096100→100000002741024100,2,360000.0
100000002217161100→100000001445848100→100000002217161100,2,351850.0
100000007390016100→100000008324800100→100000007390016100,2,346500.0
100000002958343100→100000000274067100→100000002958343100,2,300000.0
100000004603109100→100000002224132100→100000004603109100,2,300000.0
100000004717647100→100000004479404100→100000004717647100,2,300000.0
100000008314203100→100000008637537100→100000001732159100→100000008314203100,3,232000.0
100000002267998100→100000003701161100→100000002267998100,2,220000.0
100000004299488100→100000007055802100→100000004299488100,2,204999.0
100000002267998100→100000003718221100→100000002267998100,2,200000.0
100000004979498100→100000008571433100→100000004135268100→100000004979498100,3,200000.0
100000003299365100→100000003684369100→100000003299365100,2,200000.0
100000006069103100→100000000201868100→100000006069103100,2,190000.0
100000004892144100→100000002224132100→100000004892144100,2,180300.0
100000006844768100→100000004759121100→100000006844768100,2,175000.0
100000004670388100→100000000291906100→100000004670388100,2,160354.0
100000002738256100→100000004135268100→100000002738256100,2,150200.0
100000006579678100→100000003237045100→100000006579678100,2,150000.0
100000008571433100→100000004135268100→100000008571433100,2,150000.0
100000008258083100→100000000673868100→100000008258083100,2,149500.0
100000000838385100→100000008213966100→100000000838385100,2,145000.0
100000005519998100→100000004017410100→100000005519998100,2,141000.0
100000004209339100→100000003635170100→100000004209339100,2,138500.0
100000005339662100→100000004820260100→100000005339662100,2,135850.0
100000003131016100→100000000661912100→100000003131016100,2,126000.0
100000003701161100→100000003718221100→100000003701161100,2,120000.0
100000006232815100→100000001380054100→100000006232815100,2,120000.0
100000002267998100→100000003701161100→100000003718221100→100000002267998100,3,120000.0
100000002267998100→100000003718221100→100000003701161100→100000002267998100,3,120000.0
100000007442518100→100000008258083100→100000000673868100→100000007442518100,3,115000.0
100000005287097100→100000003016635100→100000005287097100,2,110723.0
100000003001661100→100000007382543100→100000003001661100,2,110000.0
100000008603629100→100000001857829100→100000003880331100→100000008603629100,3,100000.0
100000004892144100→100000002224132100→100000004603109100→100000004892144100,3,100000.0
100000004407753100→100000007382543100→100000004407753100,2,100000.0
100000001857829100→100000003880331100→100000001857829100,2,100000.0
100000008314203100→100000001732159100→100000008314203100,2,95000.0
100000000594783100→100000004603109100→100000002224132100→100000000594783100,3,92500.0
100000004892144100→100000002224132100→100000000594783100→100000004603109100→100000004892144100,4,92500.0
100000008762832100→100000008748914100→100000008762832100,2,85000.0
100000003923946100→100000003977183100→100000003923946100,2,82000.0
100000008736940100→100000008659445100→100000008736940100,2,77300.0
100000008736940100→100000008659445100→100000008193577100→100000008736940100,3,77300.0
100000001677929100→100000002394199100→100000001677929100,2,76777.0
100000002578405100→100000001697501100→100000002578405100,2,73700.0
100000008736940100→100000008659445100→100000008193577100→100000008751429100→100000008736940100,4,72600.0
100000008736940100→100000008659445100→100000008751429100→100000008736940100,3,72600.0
100000004330371100→100000006534886100→100000004330371100,2,71700.0
100000008603629100→100000002723538100→100000008603629100,2,70647.0
100000004015047100→100000001616816100→100000004015047100,2,69195.0
100000008736940100→100000008193577100→100000008736940100,2,67300.0
100000008736940100→100000008193577100→100000008751429100→100000008736940100,3,67300.0
100000004351795100→100000008512552100→100000003242289100→100000008304139100→100000006866783100→100000004351795100,5,66404.0
100000004070318100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,4,66404.0
100000004070318100→100000006866783100→100000004070318100,2,64725.0
100000004403675100→100000003988112100→100000004403675100,2,64000.0
100000008547844100→100000008547948100→100000008547844100,2,61000.0
