strategy,removed,seed_paths_left_share,components_2plus,largest_component
priority,0.0,1.0,16.0,1877.0
pagerank,0.0,1.0,16.0,1877.0
in_kzt,0.0,1.0,16.0,1877.0
random,0.0,1.0,16.0,1877.0
priority,5.0,0.9756,19.0,1848.0
pagerank,5.0,0.9975,18.0,1853.0
in_kzt,5.0,0.9947,18.0,1858.0
random,5.0,0.9962799999999999,16.1,1871.0
priority,10.0,0.9284,35.0,1778.0
pagerank,10.0,0.9935,19.0,1846.0
in_kzt,10.0,0.9932,17.0,1856.0
random,10.0,0.98826,17.4,1855.6
priority,20.0,0.613,69.0,1582.0
pagerank,20.0,0.9612,20.0,1833.0
in_kzt,20.0,0.9829,18.0,1837.0
random,20.0,0.9814,18.0,1846.0
priority,50.0,0.2881,99.0,1395.0
pagerank,50.0,0.935,25.0,1786.0
in_kzt,50.0,0.864,46.0,1680.0
random,50.0,0.9400699999999999,20.2,1799.0
