route,a,b,c,bottleneck_kzt,n_tx,lag_days
100000000331309100→100000002628576100→100000007841978100,100000000331309100,100000002628576100,100000007841978100,449000.0,3,0
100000000331309100→100000006889963100→100000006755850100,100000000331309100,100000006889963100,100000006755850100,443475.8,5,1
100000008413748100→100000002713074100→100000002686226100,100000008413748100,100000002713074100,100000002686226100,430000.0,3,14
100000008748914100→100000000913911100→100000004737764100,100000008748914100,100000000913911100,100000004737764100,426000.0,2,3
100000000331309100→100000001222263100→100000001222245100,100000000331309100,100000001222263100,100000001222245100,420000.0,6,0
100000008748914100→100000004398811100→100000002956779100,100000008748914100,100000004398811100,100000002956779100,411000.0,2,0
100000003880331100→100000008603629100→100000001857829100,100000003880331100,100000008603629100,100000001857829100,408000.0,8,9
100000008603629100→100000001857829100→100000004689658100,100000008603629100,100000001857829100,100000004689658100,408000.0,3,0
100000003880331100→100000003684369100→100000002565277100,100000003880331100,100000003684369100,100000002565277100,402000.0,5,11
100000003880331100→100000003684369100→100000001072022100,100000003880331100,100000003684369100,100000001072022100,402000.0,6,9
100000003880331100→100000003684369100→100000001527186100,100000003880331100,100000003684369100,100000001527186100,402000.0,6,8
100000008512552100→100000003242289100→100000006225798100,100000008512552100,100000003242289100,100000006225798100,400000.0,7,6
100000004351795100→100000000437046100→100000003795588100,100000004351795100,100000000437046100,100000003795588100,400000.0,11,0
100000003880331100→100000003684369100→100000002188829100,100000003880331100,100000003684369100,100000002188829100,400000.0,5,10
100000008748914100→100000003684369100→100000002188829100,100000008748914100,100000003684369100,100000002188829100,400000.0,10,3
100000008304139100→100000003684369100→100000002188829100,100000008304139100,100000003684369100,100000002188829100,400000.0,11,7
100000005287097100→100000003016635100→100000000706545100,100000005287097100,100000003016635100,100000000706545100,392500.0,31,14
100000005287097100→100000003016635100→100000004394765100,100000005287097100,100000003016635100,100000004394765100,392500.0,33,19
100000005287097100→100000003016635100→100000001567366100,100000005287097100,100000003016635100,100000001567366100,392500.0,29,17
100000005287097100→100000003016635100→100000008723830100,100000005287097100,100000003016635100,100000008723830100,392500.0,26,12
100000005287097100→100000003016635100→100000006518161100,100000005287097100,100000003016635100,100000006518161100,392500.0,33,18
100000005287097100→100000003016635100→100000004186824100,100000005287097100,100000003016635100,100000004186824100,392500.0,31,16
100000005287097100→100000003016635100→100000002173161100,100000005287097100,100000003016635100,100000002173161100,392500.0,28,17
100000008760098100→100000001887715100→100000002622822100,100000008760098100,100000001887715100,100000002622822100,390000.0,2,0
100000000331309100→100000003171587100→100000003025903100,100000000331309100,100000003171587100,100000003025903100,386300.0,7,28
100000008710791100→100000002849158100→100000002126791100,100000008710791100,100000002849158100,100000002126791100,385000.0,4,0
100000008461532100→100000006704530100→100000003470579100,100000008461532100,100000006704530100,100000003470579100,357000.0,3,3
100000003880331100→100000003684369100→100000003131693100,100000003880331100,100000003684369100,100000003131693100,353277.0,5,8
100000008748914100→100000003684369100→100000003131693100,100000008748914100,100000003684369100,100000003131693100,353277.0,10,1
100000008304139100→100000003684369100→100000003131693100,100000008304139100,100000003684369100,100000003131693100,353277.0,11,5
100000001445848100→100000002217161100→100000007647294100,100000001445848100,100000002217161100,100000007647294100,351850.0,15,14
100000005287097100→100000003016635100→100000004948177100,100000005287097100,100000003016635100,100000004948177100,341163.0,31,6
100000008637537100→100000001732159100→100000008232832100,100000008637537100,100000001732159100,100000008232832100,337000.0,30,16
100000005287097100→100000003016635100→100000001530983100,100000005287097100,100000003016635100,100000001530983100,333890.0,26,6
100000003016635100→100000001530983100→100000007777377100,100000003016635100,100000001530983100,100000007777377100,333890.0,8,10
100000003016635100→100000001530983100→100000002939838100,100000003016635100,100000001530983100,100000002939838100,333890.0,2,12
100000005498992100→100000001162560100→100000008497298100,100000005498992100,100000001162560100,100000008497298100,331300.0,3,6
100000005498992100→100000001162560100→100000003034546100,100000005498992100,100000001162560100,100000003034546100,331300.0,4,7
100000005498992100→100000001162560100→100000008418934100,100000005498992100,100000001162560100,100000008418934100,331300.0,3,3
100000008346837100→100000005074393100→100000006424479100,100000008346837100,100000005074393100,100000006424479100,329133.0,4,15
100000004351795100→100000000437046100→100000003834495100,100000004351795100,100000000437046100,100000003834495100,327441.0,12,13
100000000331309100→100000003457710100→100000003220685100,100000000331309100,100000003457710100,100000003220685100,326555.0,3,0
100000008637537100→100000001732159100→100000008314203100,100000008637537100,100000001732159100,100000008314203100,322076.0,37,20
100000003880331100→100000000331309100→100000003116106100,100000003880331100,100000000331309100,100000003116106100,320000.0,5,13
100000003880331100→100000000331309100→100000008490127100,100000003880331100,100000000331309100,100000008490127100,320000.0,5,6
100000003880331100→100000000331309100→100000001072022100,100000003880331100,100000000331309100,100000001072022100,320000.0,6,16
100000003880331100→100000000331309100→100000002628576100,100000003880331100,100000000331309100,100000002628576100,320000.0,5,17
100000003880331100→100000000331309100→100000001611488100,100000003880331100,100000000331309100,100000001611488100,320000.0,5,14
100000003880331100→100000000331309100→100000008686313100,100000003880331100,100000000331309100,100000008686313100,320000.0,5,16
100000003880331100→100000000331309100→100000001222263100,100000003880331100,100000000331309100,100000001222263100,320000.0,4,17
100000002963189100→100000005933757100→100000002633108100,100000002963189100,100000005933757100,100000002633108100,320000.0,6,8
100000003880331100→100000000331309100→100000001384826100,100000003880331100,100000000331309100,100000001384826100,320000.0,4,1
100000003880331100→100000000331309100→100000007055802100,100000003880331100,100000000331309100,100000007055802100,320000.0,6,0
100000003880331100→100000000331309100→100000003035737100,100000003880331100,100000000331309100,100000003035737100,320000.0,5,9
100000003880331100→100000000331309100→100000007138613100,100000003880331100,100000000331309100,100000007138613100,320000.0,4,16
100000003880331100→100000000331309100→100000008722417100,100000003880331100,100000000331309100,100000008722417100,320000.0,4,2
100000003880331100→100000000331309100→100000003115284100,100000003880331100,100000000331309100,100000003115284100,320000.0,5,5
100000003880331100→100000000331309100→100000001009583100,100000003880331100,100000000331309100,100000001009583100,320000.0,4,17
100000003880331100→100000000331309100→100000008532050100,100000003880331100,100000000331309100,100000008532050100,320000.0,4,1
100000003880331100→100000000331309100→100000001330685100,100000003880331100,100000000331309100,100000001330685100,320000.0,8,15
100000003880331100→100000000331309100→100000001875167100,100000003880331100,100000000331309100,100000001875167100,320000.0,5,13
100000003880331100→100000000331309100→100000003457710100,100000003880331100,100000000331309100,100000003457710100,320000.0,4,1
100000003880331100→100000000331309100→100000006889963100,100000003880331100,100000000331309100,100000006889963100,320000.0,5,7
100000003880331100→100000000331309100→100000008295429100,100000003880331100,100000000331309100,100000008295429100,320000.0,4,6
100000003880331100→100000003684369100→100000006889963100,100000003880331100,100000003684369100,100000006889963100,311000.0,6,5
100000003684369100→100000006889963100→100000006755850100,100000003684369100,100000006889963100,100000006755850100,311000.0,5,2
100000008304139100→100000003684369100→100000006889963100,100000008304139100,100000003684369100,100000006889963100,311000.0,12,2
100000000343175100→100000003115284100→100000003360542100,100000000343175100,100000003115284100,100000003360542100,307000.0,5,1
100000000331309100→100000003115284100→100000003360542100,100000000331309100,100000003115284100,100000003360542100,307000.0,4,0
