route,a,b,c,bottleneck_kzt,n_tx,lag_days
100000003835149100→100000002224132100→100000004892144100,100000003835149100,100000002224132100,100000004892144100,2900720.0,12,8
100000003835149100→100000002224132100→100000000594783100,100000003835149100,100000002224132100,100000000594783100,2635000.0,16,19
100000003835149100→100000002224132100→100000004603109100,100000003835149100,100000002224132100,100000004603109100,2580000.0,12,0
100000003835149100→100000002224132100→100000000552584100,100000003835149100,100000002224132100,100000000552584100,2500000.0,9,8
100000003835149100→100000001965374100→100000005820746100,100000003835149100,100000001965374100,100000005820746100,1699720.0,9,14
100000000274067100→100000002958343100→100000002872399100,100000000274067100,100000002958343100,100000002872399100,1090000.0,13,27
100000003835149100→100000001965374100→100000004399686100,100000003835149100,100000001965374100,100000004399686100,806000.0,9,7
100000008748914100→100000003684369100→100000001072022100,100000008748914100,100000003684369100,100000001072022100,740000.0,11,2
100000002963189100→100000005933757100→100000001073568100,100000002963189100,100000005933757100,100000001073568100,707465.0,7,10
100000008571433100→100000004135268100→100000004979498100,100000008571433100,100000004135268100,100000004979498100,700000.0,4,1
100000008759857100→100000001887715100→100000002622822100,100000008759857100,100000001887715100,100000002622822100,696000.0,3,0
100000008748914100→100000003684369100→100000001527186100,100000008748914100,100000003684369100,100000001527186100,678000.0,11,1
100000000437046100→100000007055802100→100000004299488100,100000000437046100,100000007055802100,100000004299488100,605000.0,23,7
100000004351795100→100000000437046100→100000008686313100,100000004351795100,100000000437046100,100000008686313100,542000.0,15,8
100000004351795100→100000000437046100→100000007055802100,100000004351795100,100000000437046100,100000007055802100,542000.0,25,1
100000003016635100→100000006518161100→100000005660203100,100000003016635100,100000006518161100,100000005660203100,521200.0,20,25
100000005664922100→100000002224132100→100000000594783100,100000005664922100,100000002224132100,100000000594783100,510000.0,11,11
100000005664922100→100000002224132100→100000004892144100,100000005664922100,100000002224132100,100000004892144100,510000.0,7,0
100000005664922100→100000002224132100→100000000552584100,100000005664922100,100000002224132100,100000000552584100,510000.0,4,0
100000007639767100→100000007629096100→100000002741024100,100000007639767100,100000007629096100,100000002741024100,500000.0,6,1
100000004351795100→100000000437046100→100000008730371100,100000004351795100,100000000437046100,100000008730371100,500000.0,11,2
100000005933757100→100000002963189100→100000001957974100,100000005933757100,100000002963189100,100000001957974100,490000.0,4,6
100000005933757100→100000002963189100→100000002605308100,100000005933757100,100000002963189100,100000002605308100,490000.0,6,6
100000008748914100→100000003684369100→100000002565277100,100000008748914100,100000003684369100,100000002565277100,483319.0,10,4
100000008512552100→100000003242289100→100000008221543100,100000008512552100,100000003242289100,100000008221543100,468791.0,7,10
100000008637537100→100000001732159100→100000003404627100,100000008637537100,100000001732159100,100000003404627100,465000.0,30,12
100000003016635100→100000008723830100→100000005614315100,100000003016635100,100000008723830100,100000005614315100,454000.0,2,1
100000008304139100→100000003684369100→100000002565277100,100000008304139100,100000003684369100,100000002565277100,454000.0,11,8
100000008304139100→100000003684369100→100000001072022100,100000008304139100,100000003684369100,100000001072022100,454000.0,12,6
100000008304139100→100000003684369100→100000001527186100,100000008304139100,100000003684369100,100000001527186100,454000.0,12,5
100000000331309100→100000007055802100→100000004299488100,100000000331309100,100000007055802100,100000004299488100,450000.0,10,7
